Sep 27, 2018 10:50:15 PM org.apache.karaf.main.Main launch
INFO: Installing and starting initial bundles
Sep 27, 2018 10:50:16 PM org.apache.karaf.main.Main launch
INFO: All initial bundles installed and set to start
Sep 27, 2018 10:50:16 PM org.apache.karaf.main.lock.SimpleFileLock lock
INFO: Trying to lock C:\Users\My T430\Desktop\apache-karaf-4.2.1\lock
Sep 27, 2018 10:50:16 PM org.apache.karaf.main.lock.SimpleFileLock lock
INFO: Lock acquired
Sep 27, 2018 10:50:16 PM org.apache.karaf.main.Main$KarafLockCallback lockAcquired
INFO: Lock acquired. Setting startlevel to 100
2018-09-27T22:50:22,379 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.1 |   org.apache.karaf.service.core/4.2.1
2018-09-27T22:50:22,400 | INFO  | features-3-thread-1 | CommandExtension                 | 35 - org.apache.karaf.shell.core - 4.2.1 | Registering commands for bundle org.apache.karaf.service.core/4.2.1
2018-09-27T22:50:22,401 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.1 |   org.apache.karaf.diagnostic.core/4.2.1
2018-09-27T22:50:22,429 | INFO  | features-3-thread-1 | CommandExtension                 | 35 - org.apache.karaf.shell.core - 4.2.1 | Registering commands for bundle org.apache.karaf.diagnostic.core/4.2.1
2018-09-27T22:50:22,429 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.1 |   org.apache.karaf.jaas.command/4.2.1
2018-09-27T22:50:22,467 | INFO  | features-3-thread-1 | CommandExtension                 | 35 - org.apache.karaf.shell.core - 4.2.1 | Registering commands for bundle org.apache.karaf.jaas.command/4.2.1
2018-09-27T22:50:22,469 | INFO  | features-3-thread-1 | CommandExtension                 | 35 - org.apache.karaf.shell.core - 4.2.1 | Updating commands for bundle org.apache.karaf.jaas.command/4.2.1
2018-09-27T22:50:22,470 | INFO  | features-3-thread-1 | CommandExtension                 | 35 - org.apache.karaf.shell.core - 4.2.1 | Updating commands for bundle org.apache.karaf.jaas.command/4.2.1
2018-09-27T22:50:22,471 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.1 |   org.apache.karaf.shell.commands/4.2.1
2018-09-27T22:50:22,499 | INFO  | features-3-thread-1 | CommandExtension                 | 35 - org.apache.karaf.shell.core - 4.2.1 | Registering commands for bundle org.apache.karaf.shell.commands/4.2.1
2018-09-27T22:50:22,500 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.1 |   org.apache.karaf.kar.core/4.2.1
2018-09-27T22:50:22,525 | INFO  | features-3-thread-1 | CommandExtension                 | 35 - org.apache.karaf.shell.core - 4.2.1 | Command registration delayed for bundle org.apache.karaf.kar.core/4.2.1. Missing dependencies: [org.apache.karaf.kar.KarService]
2018-09-27T22:50:22,525 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.1 |   org.apache.karaf.log.core/4.2.1
2018-09-27T22:50:22,560 | INFO  | features-3-thread-1 | CommandExtension                 | 35 - org.apache.karaf.shell.core - 4.2.1 | Command registration delayed for bundle org.apache.karaf.log.core/4.2.1. Missing dependencies: [org.apache.karaf.log.core.LogEventFormatter, org.apache.karaf.log.core.LogService]
